date,geo_id,retail_channel,sales_units,sales_revenue,n_transactions,n_new_customers,promo_type
2023-01-01,DMA_001,Store,318.12821475313945,4771.923221297092,,,None
2023-01-01,DMA_002,Store,1443.4984040289123,21652.476060433684,,,None
2023-01-01,DMA_003,Store,747.2898968432348,11209.348452648523,,,None
2023-01-01,DMA_004,Store,968.1838907990821,14522.75836198623,,,None
2023-01-01,DMA_005,Store,686.0143378361444,10290.215067542165,,,None
2023-01-01,DMA_006,Store,958.8261879232352,14382.392818848528,,,Positioning
2023-01-01,DMA_007,Store,38.86054097867404,582.9081146801105,,,Display
2023-01-01,DMA_008,Store,1615.2795068995176,24229.192603492764,,,None
2023-01-01,DMA_009,Store,4110.102465361575,61651.536980423625,,,None
2023-01-01,DMA_010,Store,1426.7680764189683,21401.521146284525,,,None
2023-01-01,DMA_011,Store,472.56036897496404,7088.40553462446,,,None
2023-01-01,DMA_012,Store,514.1978419851612,7712.967629777418,,,None
2023-01-01,DMA_013,Store,1072.8448294729749,16092.672442094623,,,None
2023-01-01,DMA_014,Store,1565.294641847998,23479.41962771997,,,None
2023-01-01,DMA_015,Store,2182.9964116267843,32744.946174401764,,,None
2023-01-01,DMA_016,Store,560.0542232482591,8400.813348723887,,,None
2023-01-01,DMA_017,Store,4212.975392324064,63194.63088486096,,,Visibility
2023-01-01,DMA_018,Store,1330.050136022044,19950.75204033066,,,Display
2023-01-01,DMA_019,Store,477.75711571252947,7166.356735687942,,,Display
2023-01-01,DMA_020,Store,1766.9118791718251,26503.678187577378,,,None
2023-01-01,DMA_021,Store,2214.7216197781895,33220.82429667284,,,Visibility
2023-01-01,DMA_022,Store,396.8535427256201,5952.803140884302,,,None
2023-01-01,DMA_023,Store,309.86201250152544,4647.930187522881,,,Visibility
2023-01-01,DMA_024,Store,2793.699924673536,41905.49887010304,,,None
2023-01-01,DMA_025,Store,1482.1535912537847,22232.30386880677,,,None
2023-01-01,DMA_026,Store,2263.1082523350747,33946.62378502612,,,None
2023-01-01,DMA_027,Store,4066.55663983382,60998.3495975073,,,Positioning
2023-01-01,DMA_028,Store,1767.2051780760821,26508.077671141233,,,Visibility
2023-01-01,DMA_029,Store,2153.565816393468,32303.487245902023,,,None
2023-01-01,DMA_030,Store,2924.2225961176373,43863.33894176456,,,None
2023-01-01,DMA_031,Store,571.3966329218041,8570.949493827062,,,None
2023-01-01,DMA_032,Store,614.7990626066542,9221.985939099812,,,None
2023-01-01,DMA_033,Store,6206.775068695718,93101.62603043577,,,None
2023-01-01,DMA_034,Store,1343.00371419624,20145.055712943602,,,Visibility
2023-01-01,DMA_035,Store,196.35640890094396,2945.346133514159,,,None
2023-01-01,DMA_036,Store,1029.0554103341383,15435.831155012074,,,None
2023-01-01,DMA_037,Store,596.2955107950426,8944.432661925639,,,None
2023-01-01,DMA_038,Store,282.1497935148915,4232.246902723372,,,Display
2023-01-01,DMA_039,Store,1971.2992743193367,29569.489114790053,,,None
2023-01-01,DMA_040,Store,468.6886717242392,7030.330075863588,,,None
2023-01-01,DMA_041,Store,1700.7393526235676,25511.090289353513,,,None
2023-01-01,DMA_042,Store,669.1968903099579,10037.953354649368,,,None
2023-01-01,DMA_043,Store,418.69062743539615,6280.359411530942,,,None
2023-01-01,DMA_044,Store,1793.1422757626628,26897.13413643994,,,None
2023-01-01,DMA_045,Store,266.0582988809041,3990.8744832135612,,,Display
2023-01-01,DMA_046,Store,4359.39931335793,65390.98970036895,,,None
2023-01-01,DMA_047,Store,891.4252120373146,13371.37818055972,,,None
2023-01-01,DMA_048,Store,1919.9744067701486,28799.61610155223,,,None
2023-01-01,DMA_049,Store,2826.3852596211937,42395.778894317904,,,None
2023-01-01,DMA_050,Store,1109.210057042785,16638.150855641772,,,None
2023-01-01,DMA_051,Store,363.1368351639512,5447.052527459268,,,None
2023-01-01,DMA_052,Store,1805.4757274443318,27082.135911664976,,,Positioning
2023-01-01,DMA_053,Store,2289.6092237603084,34344.13835640463,,,None
