date,geo_id,channel,spend_usd,impressions,clicks
2023-01-01,DMA_001,Meta,3748.09,219427,6293
2023-01-01,DMA_001,Google,2395.72,146862,3820
2023-01-01,DMA_001,Amazon,2102.07,114355,3237
2023-01-01,DMA_001,TikTok,1329.29,69386,1675
2023-01-01,DMA_002,Meta,3720.13,204787,5953
2023-01-01,DMA_002,Google,2422.83,143087,3081
2023-01-01,DMA_002,Amazon,2300.62,136583,3967
2023-01-01,DMA_002,TikTok,1692.26,85907,2684
2023-01-01,DMA_003,Meta,3311.59,188979,4113
2023-01-01,DMA_003,Google,2600.64,160318,4049
2023-01-01,DMA_003,Amazon,2012.84,121856,2834
2023-01-01,DMA_003,TikTok,1557.13,85167,2116
2023-01-01,DMA_004,Meta,3010.05,168695,4942
2023-01-01,DMA_004,Google,2436.4,148461,3390
2023-01-01,DMA_004,Amazon,2282.8,134603,2998
2023-01-01,DMA_004,TikTok,1310.07,70336,1918
2023-01-01,DMA_005,Meta,4022.01,227632,6321
2023-01-01,DMA_005,Google,3093.53,150503,4903
2023-01-01,DMA_005,Amazon,2084.14,127361,3467
2023-01-01,DMA_005,TikTok,1432.87,68920,2163
2023-01-01,DMA_006,Meta,3472.45,186593,5378
2023-01-01,DMA_006,Google,2748.04,165533,4094
2023-01-01,DMA_006,Amazon,2173.11,107523,3567
2023-01-01,DMA_006,TikTok,1354.15,73122,2225
2023-01-01,DMA_007,Meta,3572.85,205075,4678
2023-01-01,DMA_007,Google,2818.7,160231,3382
2023-01-01,DMA_007,Amazon,2133.72,123010,2768
2023-01-01,DMA_007,TikTok,1326.82,81866,1620
2023-01-01,DMA_008,Meta,3245.35,156928,4730
2023-01-01,DMA_008,Google,2660.3,159590,4332
2023-01-01,DMA_008,Amazon,1992.97,117453,3331
2023-01-01,DMA_008,TikTok,1541.8,92104,2354
2023-01-01,DMA_009,Meta,3929.7,206465,5031
2023-01-01,DMA_009,Google,2954.21,158582,3801
2023-01-01,DMA_009,Amazon,2206.07,113112,2868
2023-01-01,DMA_009,TikTok,1456.39,82586,1887
2023-01-01,DMA_010,Meta,3046.32,184718,3759
2023-01-01,DMA_010,Google,2935.97,170958,5092
2023-01-01,DMA_010,Amazon,2005.61,116306,3408
2023-01-01,DMA_010,TikTok,1686.02,86577,2060
2023-01-01,DMA_011,Meta,3319.76,162596,4770
2023-01-01,DMA_011,Google,2999.69,146154,3883
2023-01-01,DMA_011,Amazon,2076.1,104025,3632
2023-01-01,DMA_011,TikTok,1388.79,69404,2354
2023-01-01,DMA_012,Meta,3173.16,158577,4857
2023-01-01,DMA_012,Google,2718.21,134012,3473
2023-01-01,DMA_012,Amazon,2494.44,123512,3255
2023-01-01,DMA_012,TikTok,1599.59,92085,2471
2023-01-01,DMA_013,Meta,3024.94,173215,5194
2023-01-01,DMA_013,Google,2470.6,121298,3397
2023-01-01,DMA_013,Amazon,1950.48,119358,3124
2023-01-01,DMA_013,TikTok,1625.83,89107,2190
2023-01-01,DMA_014,Meta,3081.69,148117,5410
2023-01-01,DMA_014,Google,2681.2,149170,3429
