date,geo_id,retail_channel,customer_id,age_segment,is_new_customer,units,price_per_unit,revenue,promo_type,is_treatment,is_test_period
2023-01-01,DMA_002,Omnichannel,DMA_002_Omnichannel_97,35-44,False,1,15.05277930938911,15.05277930938911,None,False,False
2023-01-01,DMA_002,Omnichannel,DMA_002_Omnichannel_95,45-54,False,1,14.721696291791412,14.721696291791412,None,False,False
2023-01-01,DMA_003,Omnichannel,DMA_003_Omnichannel_3,55-64,False,1,15.145008234059091,15.145008234059091,None,False,False
2023-01-01,DMA_003,Omnichannel,DMA_003_Omnichannel_11,25-34,False,1,14.622112743244697,14.622112743244697,None,False,False
2023-01-01,DMA_003,Omnichannel,DMA_003_Omnichannel_69,55-64,False,1,15.576103255985409,15.576103255985409,None,False,False
2023-01-01,DMA_003,Omnichannel,DMA_003_Omnichannel_28,35-44,False,1,14.893755588318122,14.893755588318122,None,False,False
2023-01-01,DMA_003,Omnichannel,DMA_003_Omnichannel_13,25-34,False,1,15.353230893094654,15.353230893094654,None,False,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_91,55-64,False,1,10.955877974657163,10.955877974657163,Price,True,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_51,25-34,True,3,11.483099943999457,34.449299831998374,Price,True,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_77,18-24,True,1,12.717894278653775,12.717894278653775,Price,True,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_87,35-44,False,1,11.43757574339279,11.43757574339279,Price,True,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_28,65+,False,1,12.14275307566504,12.14275307566504,Price,True,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_36,25-34,True,1,12.66147830525613,12.66147830525613,Price,True,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_35,55-64,False,1,10.791314088402956,10.791314088402956,Price,True,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_19,35-44,False,2,11.597928636148215,23.19585727229643,Price,True,False
2023-01-01,DMA_004,Omnichannel,DMA_004_Omnichannel_96,25-34,False,1,10.95235874902095,10.95235874902095,Price,True,False
2023-01-01,DMA_008,Omnichannel,DMA_008_Omnichannel_61,18-24,False,1,15.021789554378648,15.021789554378648,Loyalty,True,False
2023-01-01,DMA_008,Omnichannel,DMA_008_Omnichannel_4,55-64,False,1,14.32328403266332,14.32328403266332,Loyalty,True,False
2023-01-01,DMA_008,Omnichannel,DMA_008_Omnichannel_22,45-54,False,1,14.791300965245041,14.791300965245041,Loyalty,True,False
2023-01-01,DMA_008,Omnichannel,DMA_008_Omnichannel_98,55-64,False,1,15.382947306647976,15.382947306647976,Loyalty,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_4,25-34,False,1,15.201004001517818,15.201004001517818,Bundle,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_25,65+,False,1,15.57589186513135,15.57589186513135,Bundle,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_65,18-24,True,1,14.64695522880623,14.64695522880623,Bundle,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_45,18-24,False,1,15.158389678787596,15.158389678787596,Bundle,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_67,35-44,True,1,14.676505428777174,14.676505428777174,Bundle,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_93,45-54,True,1,15.32352525273628,15.32352525273628,Bundle,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_94,25-34,False,1,14.73487435458712,14.73487435458712,Bundle,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_45,18-24,False,1,15.71318659173505,15.71318659173505,Bundle,True,False
2023-01-01,DMA_010,Omnichannel,DMA_010_Omnichannel_58,18-24,True,1,15.683715895870376,15.683715895870376,Bundle,True,False
2023-01-01,DMA_012,Omnichannel,DMA_012_Omnichannel_81,35-44,False,1,14.854359885325445,14.854359885325445,None,True,False
2023-01-01,DMA_012,Omnichannel,DMA_012_Omnichannel_65,35-44,False,1,15.552321389660074,15.552321389660074,None,True,False
