date,geo_id,channel,spend_usd,impressions,clicks
2023-01-01,DMA_001,Meta,3108.39,170857,5645
2023-01-01,DMA_001,Google,3648.16,224463,6976
2023-01-01,DMA_001,Amazon,2223.48,120838,3781
2023-01-01,DMA_001,TikTok,1491.58,82736,2822
2023-01-01,DMA_002,Meta,2664.2,140555,4495
2023-01-01,DMA_002,Google,2270.77,137726,4810
2023-01-01,DMA_002,Amazon,1889.85,110134,3226
2023-01-01,DMA_002,TikTok,1792.8,96356,3257
2023-01-01,DMA_003,Meta,4189.6,245657,8923
2023-01-01,DMA_003,Google,3898.53,227999,7876
2023-01-01,DMA_003,Amazon,1953.51,101328,3201
2023-01-01,DMA_003,TikTok,1777.33,95294,2643
2023-01-01,DMA_004,Meta,3227.47,166460,4977
2023-01-01,DMA_004,Google,3143.92,167333,6443
2023-01-01,DMA_004,Amazon,2468.98,133073,4961
2023-01-01,DMA_004,TikTok,1265.0,61092,1533
2023-01-01,DMA_005,Meta,4425.24,231934,8563
2023-01-01,DMA_005,Google,3109.65,150915,5707
2023-01-01,DMA_005,Amazon,2536.07,146394,4693
2023-01-01,DMA_005,TikTok,1155.72,68210,1944
2023-01-01,DMA_006,Meta,3646.88,198716,5222
2023-01-01,DMA_006,Google,2816.51,157404,4894
2023-01-01,DMA_006,Amazon,1891.35,111096,4081
2023-01-01,DMA_006,TikTok,1432.42,81538,2720
2023-01-01,DMA_007,Meta,3627.11,214133,6370
2023-01-01,DMA_007,Google,2369.75,142126,4926
2023-01-01,DMA_007,Amazon,2045.84,118387,3744
2023-01-01,DMA_007,TikTok,1846.07,91184,3282
2023-01-01,DMA_008,Meta,3505.29,208466,7638
2023-01-01,DMA_008,Google,3118.71,175930,4977
2023-01-01,DMA_008,Amazon,1921.58,104322,2784
2023-01-01,DMA_008,TikTok,1152.84,63274,1863
2023-01-01,DMA_009,Meta,3641.44,187220,4969
2023-01-01,DMA_009,Google,3354.4,162557,6476
2023-01-01,DMA_009,Amazon,2178.3,130190,4977
2023-01-01,DMA_009,TikTok,1747.5,84593,3314
2023-01-01,DMA_010,Meta,2679.92,141613,3623
2023-01-01,DMA_010,Google,3136.01,188011,5631
2023-01-01,DMA_010,Amazon,2332.65,131020,4846
2023-01-01,DMA_010,TikTok,1469.05,75315,2080
2023-01-01,DMA_011,Meta,4351.68,239870,6894
2023-01-01,DMA_011,Google,2785.55,136509,4151
2023-01-01,DMA_011,Amazon,1937.73,109458,3228
2023-01-01,DMA_011,TikTok,983.99,49436,1657
2023-01-01,DMA_012,Meta,2790.64,157959,6033
2023-01-01,DMA_012,Google,2148.18,108322,3293
2023-01-01,DMA_012,Amazon,2520.5,128428,3463
2023-01-01,DMA_012,TikTok,1297.32,77035,2022
2023-01-01,DMA_013,Meta,3476.54,206151,7093
2023-01-01,DMA_013,Google,2430.68,139595,3878
2023-01-01,DMA_013,Amazon,2701.28,158408,5164
2023-01-01,DMA_013,TikTok,1443.77,76640,2758
2023-01-01,DMA_014,Meta,4676.32,232394,8463
2023-01-01,DMA_014,Google,1959.92,101634,2987
2023-01-01,DMA_014,Amazon,2798.64,137652,4114
2023-01-01,DMA_014,TikTok,1312.71,72962,2567
2023-01-01,DMA_015,Meta,4259.24,243555,9443
2023-01-01,DMA_015,Google,2704.95,145095,5269
2023-01-01,DMA_015,Amazon,2676.01,156295,6065
2023-01-01,DMA_015,TikTok,1922.89,107743,3734
2023-01-01,DMA_016,Meta,4980.14,293245,10346
2023-01-01,DMA_016,Google,2599.3,126772,3960
2023-01-01,DMA_016,Amazon,1803.47,109096,3012
2023-01-01,DMA_016,TikTok,1407.24,79089,2675
2023-01-01,DMA_017,Meta,3325.05,170928,6708
2023-01-01,DMA_017,Google,2785.27,142385,4899
2023-01-01,DMA_017,Amazon,1771.61,90055,2502
2023-01-01,DMA_017,TikTok,1797.05,95343,2557
2023-01-01,DMA_018,Meta,3063.75,169738,5430
2023-01-01,DMA_018,Google,3463.82,189569,7374
2023-01-01,DMA_018,Amazon,2095.42,117643,4665
2023-01-01,DMA_018,TikTok,2075.98,114158,4363
2023-01-01,DMA_019,Meta,3470.74,175313,6121
2023-01-01,DMA_019,Google,2621.47,141025,4368
2023-01-01,DMA_019,Amazon,2468.9,143187,5416
2023-01-01,DMA_019,TikTok,1165.81,71380,2654
2023-01-01,DMA_020,Meta,4980.42,260690,7217
2023-01-01,DMA_020,Google,2117.2,103870,4009
2023-01-01,DMA_020,Amazon,1939.8,113821,3401
2023-01-01,DMA_020,TikTok,1010.26,57792,2133
