date,geo_id,product_sku,sales_units,sales_revenue,promo_flag
2023-01-01,DMA_001,Brightline_HydraCare,1520.0,23750.87465197748,0
2023-01-01,DMA_002,Brightline_HydraCare,680.3328156914035,10670.244767495842,1
2023-01-01,DMA_003,Brightline_HydraCare,1806.0,26184.13987557097,0
2023-01-01,DMA_004,Brightline_HydraCare,1777.0,24766.50639134016,0
2023-01-01,DMA_005,Brightline_HydraCare,4050.0,62515.920667741986,0
2023-01-01,DMA_006,Brightline_HydraCare,5137.0,70993.28753990648,0
2023-01-01,DMA_007,Brightline_HydraCare,6181.0,93419.70714211148,0
2023-01-01,DMA_008,Brightline_HydraCare,3629.1923162981557,53220.530871125295,1
2023-01-01,DMA_009,Brightline_HydraCare,1840.0,29281.75799088871,0
2023-01-01,DMA_010,Brightline_HydraCare,2240.531545006243,32947.83882794846,1
2023-01-01,DMA_011,Brightline_HydraCare,74.0,1171.453649946211,0
2023-01-01,DMA_012,Brightline_HydraCare,3104.0,45362.92041352288,0
2023-01-01,DMA_013,Brightline_HydraCare,3002.0,47281.47974789171,0
2023-01-01,DMA_014,Brightline_HydraCare,2088.0,34546.49485764848,0
2023-01-01,DMA_015,Brightline_HydraCare,1089.0,15462.672499739374,0
2023-01-01,DMA_016,Brightline_HydraCare,7051.0,107309.35790544347,0
2023-01-01,DMA_017,Brightline_HydraCare,3093.0065827467192,52771.600321411985,1
2023-01-01,DMA_018,Brightline_HydraCare,547.0,8232.318066236923,0
2023-01-01,DMA_019,Brightline_HydraCare,2331.0,35073.02134342898,0
2023-01-01,DMA_020,Brightline_HydraCare,2296.534332822003,35806.126170319265,1
2023-01-01,DMA_021,Brightline_HydraCare,3440.0,51705.98862936447,0
2023-01-01,DMA_022,Brightline_HydraCare,2436.0,33420.8981079196,0
2023-01-01,DMA_023,Brightline_HydraCare,2759.0,43727.985650385475,0
2023-01-01,DMA_024,Brightline_HydraCare,2123.0,28655.805388023145,0
2023-01-01,DMA_025,Brightline_HydraCare,1354.0255071306328,19887.12271185919,1
2023-01-01,DMA_026,Brightline_HydraCare,3645.039480257905,57976.428097735545,1
2023-01-01,DMA_027,Brightline_HydraCare,5630.0,82944.49959505584,0
2023-01-01,DMA_028,Brightline_HydraCare,5422.0,78509.0832133935,0
2023-01-01,DMA_029,Brightline_HydraCare,1606.0,25149.07337377312,0
2023-01-01,DMA_030,Brightline_HydraCare,4694.0,67413.65039294954,0
2023-01-01,DMA_031,Brightline_HydraCare,8697.0,122482.72718753158,0
2023-01-01,DMA_032,Brightline_HydraCare,4869.0,74037.45645382859,0
2023-01-01,DMA_033,Brightline_HydraCare,3518.0,52287.35687713838,0
2023-01-01,DMA_034,Brightline_HydraCare,842.2755247490862,11848.49630258399,1
2023-01-01,DMA_035,Brightline_HydraCare,3927.0,60780.98446841989,0
2023-01-01,DMA_036,Brightline_HydraCare,1759.0,26997.775273657764,0
2023-01-01,DMA_037,Brightline_HydraCare,2652.7050321547013,39074.832525151025,1
2023-01-01,DMA_038,Brightline_HydraCare,4053.0,59909.42353438169,0
2023-01-01,DMA_039,Brightline_HydraCare,5539.0,85039.12904849154,0
2023-01-01,DMA_040,Brightline_HydraCare,8560.0,136042.12031480827,0
2023-01-01,DMA_041,Brightline_HydraCare,841.3072192304023,12441.171311545299,1
2023-01-01,DMA_042,Brightline_HydraCare,5233.0,81064.48866293371,0
2023-01-01,DMA_043,Brightline_HydraCare,4251.0,65566.99959211997,0
2023-01-01,DMA_044,Brightline_HydraCare,4358.0,68244.01588621929,0
2023-01-01,DMA_045,Brightline_HydraCare,2613.0,39272.036202237505,0
2023-01-01,DMA_046,Brightline_HydraCare,4301.0,61572.06597300045,0
2023-01-01,DMA_047,Brightline_HydraCare,2726.0,39944.420481282665,0
2023-01-01,DMA_048,Brightline_HydraCare,724.0,11046.169431919436,0
2023-01-01,DMA_049,Brightline_HydraCare,4296.0,70299.09222714549,0
2023-01-01,DMA_050,Brightline_HydraCare,886.0,12968.368960386073,0
2023-01-01,DMA_051,Brightline_HydraCare,4021.0,62742.03773281776,0
2023-01-01,DMA_052,Brightline_HydraCare,5634.0,83123.79746766535,0
2023-01-01,DMA_053,Brightline_HydraCare,1401.544948997707,21139.29443009131,1
2023-01-01,DMA_054,Brightline_HydraCare,3524.2474299477544,56869.18627342386,1
2023-01-01,DMA_055,Brightline_HydraCare,3793.0,59069.22132099578,0
2023-01-01,DMA_056,Brightline_HydraCare,1599.0,22496.371847165407,0
2023-01-01,DMA_057,Brightline_HydraCare,13597.0,198117.04282592534,0
2023-01-01,DMA_058,Brightline_HydraCare,3142.9195049665495,50104.94449899828,1
2023-01-01,DMA_059,Brightline_HydraCare,1139.792849442261,17218.176425494534,1
2023-01-01,DMA_060,Brightline_HydraCare,5531.0,78199.32397380349,0
2023-01-01,DMA_061,Brightline_HydraCare,2722.318269341598,39162.68713811852,1
2023-01-01,DMA_062,Brightline_HydraCare,5543.738935997124,86081.07236476363,1
2023-01-01,DMA_063,Brightline_HydraCare,1993.918200061924,31395.852569465256,1
2023-01-01,DMA_064,Brightline_HydraCare,5125.0,76943.63131507211,0
2023-01-01,DMA_065,Brightline_HydraCare,1506.5366130333343,25394.91234789272,1
2023-01-01,DMA_066,Brightline_HydraCare,1814.582472654021,28340.35641495256,1
2023-01-01,DMA_067,Brightline_HydraCare,4167.0,61744.06078712978,0
2023-01-01,DMA_068,Brightline_HydraCare,9582.984163726132,137882.08884999825,1
2023-01-01,DMA_069,Brightline_HydraCare,5703.0,81375.17610798267,0
2023-01-01,DMA_070,Brightline_HydraCare,2184.0,33309.420122946845,0
2023-01-01,DMA_071,Brightline_HydraCare,1094.0,16008.95843464855,0
2023-01-01,DMA_072,Brightline_HydraCare,6684.0,108650.47743871891,0
2023-01-01,DMA_073,Brightline_HydraCare,2795.4058450935504,45005.29011485794,1
2023-01-01,DMA_074,Brightline_HydraCare,2471.0,38238.23057914923,0
2023-01-01,DMA_075,Brightline_HydraCare,4622.0,65243.00976644492,0
2023-01-01,DMA_076,Brightline_HydraCare,2311.0,33499.87663914855,0
2023-01-01,DMA_077,Brightline_HydraCare,3071.0,48957.13926116319,0
2023-01-01,DMA_078,Brightline_HydraCare,3202.0,46677.79652119206,0
2023-01-01,DMA_079,Brightline_HydraCare,2715.0,43009.961105693634,0
2023-01-01,DMA_080,Brightline_HydraCare,1342.0,20607.688848534486,0
2023-01-01,DMA_081,Brightline_HydraCare,309.0,4646.985619805456,0
2023-01-01,DMA_082,Brightline_HydraCare,2461.0,35617.74633552441,0
2023-01-01,DMA_083,Brightline_HydraCare,1074.0,16034.086584040813,0
2023-01-01,DMA_084,Brightline_HydraCare,1894.0,28679.39491989979,0
2023-01-01,DMA_085,Brightline_HydraCare,3521.0,55541.67709568869,0
2023-01-01,DMA_086,Brightline_HydraCare,541.0,7755.612780042854,0
2023-01-01,DMA_087,Brightline_HydraCare,11884.41822684876,175923.70444750125,1
