date,geo_id,temperature,holiday_flag,competitor_promo,consumer_confidence
2023-01-01,DMA_001,85.09412533277532,1,0,97.97756400228718
2023-01-01,DMA_002,79.96902580488572,1,1,102.89823476026586
2023-01-01,DMA_003,82.01795542883877,1,0,97.46267314669281
2023-01-01,DMA_004,70.27413918601803,1,1,96.99517218568623
2023-01-01,DMA_005,76.89693697876724,1,0,101.09271776988099
2023-01-01,DMA_006,77.93064126915023,1,1,101.3774406903316
2023-01-01,DMA_007,84.35579254075003,1,0,96.25100250033287
2023-01-01,DMA_008,74.54908422207588,1,0,102.87350876614617
2023-01-01,DMA_009,57.00193448608128,1,0,98.11138691506902
2023-01-01,DMA_010,70.44519855005248,1,0,100.75745659621602
2023-01-01,DMA_011,85.66117232002902,1,0,99.8164430590417
2023-01-01,DMA_012,83.97658421728688,1,0,98.84255918290529
2023-01-01,DMA_013,89.49183829576052,1,0,100.87165952499069
2023-01-01,DMA_014,80.78437666508981,1,0,98.03612721094272
2023-01-01,DMA_015,84.77282086627001,1,0,100.6816723582921
2023-01-01,DMA_016,71.86518694907029,1,0,98.44600197934325
2023-01-01,DMA_017,79.46198343887157,1,0,99.00156180862747
2023-01-01,DMA_018,86.07209583854872,1,0,100.31725311918115
2023-01-01,DMA_019,84.28854298545689,1,0,100.4122767702675
2023-01-01,DMA_020,75.35718031041941,1,0,97.82631476180029
2023-01-01,DMA_021,79.27165200345269,1,0,99.217882013605
2023-01-01,DMA_022,79.68004288747457,1,0,101.61880854801505
2023-01-01,DMA_023,86.03367230919844,1,0,98.7952991599432
2023-01-01,DMA_024,81.47896075433087,1,0,102.30782315362295
2023-01-01,DMA_025,70.66020273927168,1,0,99.9381215368099
2023-01-01,DMA_026,84.67562589179983,1,0,100.73780428613054
2023-01-01,DMA_027,79.4014424080783,1,0,100.26386765787883
2023-01-01,DMA_028,88.87927526359334,1,0,102.7699613544514
2023-01-01,DMA_029,86.32202647009191,1,0,101.29188764775604
2023-01-01,DMA_030,78.57491684667951,1,0,100.82149204164574
2023-01-01,DMA_031,83.40642222509294,1,0,98.7012015928241
2023-01-01,DMA_032,78.73056675044333,1,1,96.27184779589084
2023-01-01,DMA_033,74.80959110448835,1,1,99.65588496760489
2023-01-01,DMA_034,82.6049816020884,1,0,97.45900158949972
2023-01-01,DMA_035,84.08112034970888,1,1,100.43932378507189
2023-01-01,DMA_036,80.85457435859797,1,0,97.00011786443903
2023-01-01,DMA_037,78.62410984967352,1,0,100.6105140362681
2023-01-01,DMA_038,77.66520778411348,1,0,102.21858840856079
2023-01-01,DMA_039,85.27014133514258,1,0,102.38886248459555
2023-01-01,DMA_040,73.28383060201286,1,0,101.49471394360677
2023-01-01,DMA_041,82.61577001307867,1,0,100.71979782468598
